"Los Tacos No.1"|"jnEv25Y2DosTq2sNnvmC9g"|"Tacos & Tostadas choose corn or flour tortilla"|"Nopal / Grilled Cactus"|"3.00"|"1 review"
"Los Tacos No.1"|"jnEv25Y2DosTq2sNnvmC9g"|"Quesadillas & Mulas"|"Carne Asada / Grilled Steak"|"4.75"|"6 reviews 3 photos"
"Los Tacos No.1"|"jnEv25Y2DosTq2sNnvmC9g"|"Quesadillas & Mulas"|"Pollo Asado / Grilled Chicken"|"4.50"|"4 reviews 2 photos"
"Los Tacos No.1"|"jnEv25Y2DosTq2sNnvmC9g"|"Quesadillas & Mulas"|"Adobada / Marinated Pork"|"4.50"|"10 reviews 3 photos"
"Los Tacos No.1"|"jnEv25Y2DosTq2sNnvmC9g"|"Quesadillas & Mulas"|"Nopal / Grilled Cactus"|"4.00"|"1 review"
"Los Tacos No.1"|"jnEv25Y2DosTq2sNnvmC9g"|"Quesadillas & Mulas"|"Especial / Fried Quesadilla"|"5.00"|"12 reviews 2 photos"
"Los Tacos No.1"|"jnEv25Y2DosTq2sNnvmC9g"|"On a Plate"|"Nopal Plate"|"5.00"|"3 reviews 1 photo"
"Los Tacos No.1"|"jnEv25Y2DosTq2sNnvmC9g"|"Sides"|"Chips Y Salsa"|"3.00"|""
"Los Tacos No.1"|"jnEv25Y2DosTq2sNnvmC9g"|"Sides"|"Chips Y Guacamole"|"4.00"|""
"Los Tacos No.1"|"jnEv25Y2DosTq2sNnvmC9g"|"Drinks"|"Aguas Frescas"|"3.50"|"7 reviews"
"Los Tacos No.1"|"jnEv25Y2DosTq2sNnvmC9g"|"Drinks"|"Mexican Sodas"|"3.00"|"4 reviews"
"Los Tacos No.1"|"jnEv25Y2DosTq2sNnvmC9g"|"Drinks"|"Bottled Sodas"|"2.00"|"2 reviews"
"Los Tacos No.1"|"jnEv25Y2DosTq2sNnvmC9g"|"Drinks"|"Water"|"2.00"|"11 reviews"
"Los Tacos No.1"|"jnEv25Y2DosTq2sNnvmC9g"|"Catering Menu for pick up, minimum order $50. for delivery, $14/person (minimum order 30 people). $50 transportation fee it outside 2 block radius. includes the following:"|"3 Tacos Per Head"|""|"1 review"
