"BeeHive Oven Biscuit Cafe"|"efnf76l4Tg0UHEtj1lH8hw"|"Build Your Own Biscuit Sandwich $3 for the biscuit then add your toppings"|"Ham"|"2.00"|"2 reviews"
"BeeHive Oven Biscuit Cafe"|"efnf76l4Tg0UHEtj1lH8hw"|"Build Your Own Biscuit Sandwich $3 for the biscuit then add your toppings"|"Sausage Patty"|"2.00"|"1 review"
"BeeHive Oven Biscuit Cafe"|"efnf76l4Tg0UHEtj1lH8hw"|"Build Your Own Biscuit Sandwich $3 for the biscuit then add your toppings"|"Egg Salad"|"2.00"|"1 review 2 photos"
"BeeHive Oven Biscuit Cafe"|"efnf76l4Tg0UHEtj1lH8hw"|"Build Your Own Biscuit Sandwich $3 for the biscuit then add your toppings"|"Sausage Gravy"|"2.00"|"44 reviews 12 photos"
"BeeHive Oven Biscuit Cafe"|"efnf76l4Tg0UHEtj1lH8hw"|"Build Your Own Biscuit Sandwich $3 for the biscuit then add your toppings"|"Mushroom Gravy"|"2.00"|"16 reviews 4 photos"
"BeeHive Oven Biscuit Cafe"|"efnf76l4Tg0UHEtj1lH8hw"|"Build Your Own Biscuit Sandwich $3 for the biscuit then add your toppings"|"Pimento Cheese"|"2.00"|"8 reviews 3 photos"
"BeeHive Oven Biscuit Cafe"|"efnf76l4Tg0UHEtj1lH8hw"|"Build Your Own Biscuit Sandwich $3 for the biscuit then add your toppings"|"Sliced Tomato"|"1.00"|""
"BeeHive Oven Biscuit Cafe"|"efnf76l4Tg0UHEtj1lH8hw"|"Build Your Own Biscuit Sandwich $3 for the biscuit then add your toppings"|"Cheese"|"1.00"|"20 reviews 8 photos"
"BeeHive Oven Biscuit Cafe"|"efnf76l4Tg0UHEtj1lH8hw"|"Build Your Own Biscuit Sandwich $3 for the biscuit then add your toppings"|"Collard Greens"|"1.00"|"20 reviews 4 photos"
"BeeHive Oven Biscuit Cafe"|"efnf76l4Tg0UHEtj1lH8hw"|"Build Your Own Biscuit Sandwich $3 for the biscuit then add your toppings"|"Salad Greens"|"1.00"|"1 review 1 photo"
"BeeHive Oven Biscuit Cafe"|"efnf76l4Tg0UHEtj1lH8hw"|"Build Your Own Biscuit Sandwich $3 for the biscuit then add your toppings"|"Pickled Squash"|"1.00"|"3 reviews"
"BeeHive Oven Biscuit Cafe"|"efnf76l4Tg0UHEtj1lH8hw"|"Build Your Own Biscuit Sandwich $3 for the biscuit then add your toppings"|"Honey Mustard"|""|"3 reviews 1 photo"
"BeeHive Oven Biscuit Cafe"|"efnf76l4Tg0UHEtj1lH8hw"|"Build Your Own Biscuit Sandwich $3 for the biscuit then add your toppings"|"Jezebel Sauce"|""|"9 reviews 1 photo"
"BeeHive Oven Biscuit Cafe"|"efnf76l4Tg0UHEtj1lH8hw"|"Build Your Own Biscuit Sandwich $3 for the biscuit then add your toppings"|"Remoulade"|""|"9 reviews 1 photo"
"BeeHive Oven Biscuit Cafe"|"efnf76l4Tg0UHEtj1lH8hw"|"Build Your Own Biscuit Sandwich $3 for the biscuit then add your toppings"|"Honey"|""|"7 reviews 1 photo"
"BeeHive Oven Biscuit Cafe"|"efnf76l4Tg0UHEtj1lH8hw"|"Build Your Own Biscuit Sandwich $3 for the biscuit then add your toppings"|"Jam"|""|"42 reviews 8 photos"
"BeeHive Oven Biscuit Cafe"|"efnf76l4Tg0UHEtj1lH8hw"|"Beverages"|"Hive-made Prickly Pear Lemonade"|"3.00"|"18 reviews 5 photos"
"BeeHive Oven Biscuit Cafe"|"efnf76l4Tg0UHEtj1lH8hw"|"Beverages"|"Texas Mint Iced Tea, Coffee, Iced Coffee"|"3.00"|""
"BeeHive Oven Biscuit Cafe"|"efnf76l4Tg0UHEtj1lH8hw"|"Beverages"|"Bottled Sodas and Water"|"3.00"|""
"BeeHive Oven Biscuit Cafe"|"efnf76l4Tg0UHEtj1lH8hw"|"Beverages"|"Orange Juice, Grapefruit or Cranberry Juice"|"3.00"|""
"BeeHive Oven Biscuit Cafe"|"efnf76l4Tg0UHEtj1lH8hw"|"Desserts Cakes"|"Chocolate Birthday"|"6.00"|"2 reviews 1 photo"
"BeeHive Oven Biscuit Cafe"|"efnf76l4Tg0UHEtj1lH8hw"|"Desserts Cakes"|"Red Velvet or Hummingbird"|"6.00"|""
"BeeHive Oven Biscuit Cafe"|"efnf76l4Tg0UHEtj1lH8hw"|"Desserts Cakes"|"Fruit Biscuit Pudding"|"6.00"|"7 reviews 3 photos"
"BeeHive Oven Biscuit Cafe"|"efnf76l4Tg0UHEtj1lH8hw"|"Desserts Cakes"|"Cinna Biscuit"|"6.00"|""
"BeeHive Oven Biscuit Cafe"|"efnf76l4Tg0UHEtj1lH8hw"|"Main Courses include one side dish"|"Chicken Fried Steak and Mashed Potatoes"|"18.00"|"1 review 2 photos"
"BeeHive Oven Biscuit Cafe"|"efnf76l4Tg0UHEtj1lH8hw"|"Main Courses include one side dish"|"Shrimp and Grits"|"15.00"|"27 reviews 13 photos"
"BeeHive Oven Biscuit Cafe"|"efnf76l4Tg0UHEtj1lH8hw"|"Main Courses include one side dish"|"Chicken Pot Pie"|"15.00"|"11 reviews 6 photos"
"BeeHive Oven Biscuit Cafe"|"efnf76l4Tg0UHEtj1lH8hw"|"Side Dishes"|"Two Color Grits"|"4.00"|"1 review"
"BeeHive Oven Biscuit Cafe"|"efnf76l4Tg0UHEtj1lH8hw"|"Side Dishes"|"Maque Choux"|"4.00"|"3 reviews"
"BeeHive Oven Biscuit Cafe"|"efnf76l4Tg0UHEtj1lH8hw"|"Side Dishes"|"Fried Okra"|"4.00"|"6 reviews 5 photos"
"BeeHive Oven Biscuit Cafe"|"efnf76l4Tg0UHEtj1lH8hw"|"Side Dishes"|"Collard Greens"|"4.00"|"20 reviews 4 photos"
"BeeHive Oven Biscuit Cafe"|"efnf76l4Tg0UHEtj1lH8hw"|"Side Dishes"|"Mashed Potatoes"|"4.00"|"15 reviews 5 photos"
