id,price,bedrooms,lon,lag
1155733,2800,2.0,-73.9324,40.6806
1163519,5695,2.0,-73.9982,40.7339
1163915,7200,2.0,-73.9848,40.7473
1163915,7600,2.0,-73.9848,40.7473
1164601,9490,3.0,-74.0006,40.7421
1164601,9990,3.0,-74.0006,40.7421
1165904,3850,2.0,-73.9893,40.7242
1165923,2100,1.0,-73.9467,40.7793
1175969,3475,1.0,-73.9785,40.7655
1179346,2695,1.0,-73.9797,40.7801
1182763,2750,2.0,-73.9828,40.7186
1182763,2750,2.0,-73.9828,40.7186
1191708,2925,1.0,-74.0058,40.7307
1192729,14950,2.0,-73.9786,40.7662
1192733,14375,1.0,-73.9786,40.7662
1193986,2900,1.0,-73.9483,40.782
1195026,3500,1.0,-73.9691,40.7516
1195146,2695,1.0,-73.9553,40.7682
1195257,22500,4.0,-73.9928,40.7255
1197245,2500,1.0,-73.9731,40.7966
1198279,4250,1.0,-73.9781,40.7658
1201525,2100,0.0,-73.9742,40.7484
1202076,4400,1.0,-73.9596,40.7807
1202144,12000,2.0,-73.9928,40.7391
1202144,15000,2.0,-73.9928,40.7391
1203406,4500,2.0,-73.9897,40.6718
1206379,10800,5.0,-73.9049,40.8967
1206379,11000,5.0,-73.9049,40.8967
1206789,4000,1.0,-73.9927,40.7619
1210494,1875,0.0,-73.956,40.7706
1214435,3000,1.0,-73.9832,40.7322
1214435,4100,1.0,-73.9832,40.7322
1214470,2465,0.0,-73.9832,40.7322
1214470,2550,0.0,-73.9832,40.7322
1214500,4000,1.0,-73.979,40.7487
1214500,4500,1.0,-73.979,40.7487
1214508,4500,1.0,-73.979,40.7487
1214517,4500,0.0,-73.979,40.7487
1216082,3600,5.0,-73.9167,40.6843
1223728,3300,4.0,-73.8139,40.7105
1224203,3948,1.0,-73.9862,40.7616
1224209,3750,1.0,-73.9862,40.7616
1224213,7035,2.0,-73.9918,40.7242
1224217,3205,0.0,-74.0028,40.7514
1224217,3205,0.0,-74.0028,40.7514
1224221,6025,2.0,-74.0028,40.7514
1224221,6025,2.0,-74.0028,40.7514
1224222,5787,2.0,-73.9862,40.7616
1224226,3523,1.0,-73.9911,40.7664
1224227,4750,1.0,-73.9918,40.7242
1224229,3063,1.0,-73.9581,40.7438
1224237,3115,0.0,-73.9911,40.7664
1224246,3468,1.0,-73.9911,40.7664
1224254,3834,1.0,-73.9862,40.7616
1224262,3578,1.0,-73.9862,40.7616
1224268,3710,0.0,-73.9918,40.7242
1224271,3130,0.0,-74.0028,40.7514
1224282,3028,1.0,-73.9581,40.7438
1224283,4025,1.0,-74.0028,40.7514
1224284,3570,1.0,-74.0028,40.7514
